sample_id,species,island,date_collected,body_mass_g,flipper_length_mm,sex,region,notes
S0039,chinstrap,Torgersen,7 Jan 2022,4838,202.6,.,Antarctica,
S0040 ,Chinstrap,Torgersen,24/09/2022,4147,186.2,unknown,Antarctica,
S0041,ADELIE,,1 Sep 2023,4271,212.8,Female,Antarctica,
S0042,Chinstrap,Dream,9 Jul 2022,4626,"217,3",female,Antarctica,
S0043,Gentooo,Biscoe,2021-04-27,4321,193.2,Male,Antarctica,
S0044,Chinstrap,Dream,04/12/2023,4265,"211,9",unknown,Antarctica,
S0045,Adelie ,Biscoe,4.4.2023,4311,229.1,MALE,Antarctica,
S0046,Chinstrap,Biscoe,28 Jan 2022,5784,"219,3",Female,Antarctica,
S0047,Gentoo,Torgersen,15 Aug 2023,3922,195.4,male,Antarctica,
S0048,Chinstrap Penguin,Bisco,1 Jun 2022,4739,205.9,female,Antarctica,
S0049, Adelie,Bisco,,5590,"197,0",Male,Antarctica,
S0050,Chinstrap Penguin,,8 May 2021,3289,186.2,,Antarctica,
S0051,Gentoo,Torgersen,10.5.2022,3755,190.8,M,Antarctica,
S0052, Adelie,Bisco,2023-10-10,5408,192.4,,Antarctica,
S0053 ,Adelie,Bisco,28 Nov 2021,4720 g,n/a,Female,Antarctica,
S0054,Adelie,Torgersen,2022-02-27,5207,NA,.,Antarctica,
S0055,Adelie ,Biscoe,20/10/2022,4705,209.9,.,Antarctica,
S0056,gentoo,Biscoe,25/02/2023,3834,209.0,,Antarctica,re-measured
S0057,gentoo,,23.5.2021,4489,187.8,unknown,Antarctica,
S0058,Adelie ,,5.11.2021,2522,"206,1",.,Antarctica,
S0059,Chinstrap Penguin,Torgersen,18 Sep 2022,4792,217.5,.,Antarctica,
S0058,Adelie ,,5.11.2021,2522,"206,1",.,Antarctica,
S0060,Gentooo,Bisco,27.11.2021,3365,207.7,Female,Antarctica,
S0061,gentoo,,16.2.2022,5062,206.6,F,Antarctica,
S0062,chinstrap,Bisco,,-999,205.1,F,Antarctica,
S0063,Adelie,Bisco,17.4.2021,3335,n/a,,Antarctica,
S0064,Chinstrap Penguin,Biscoe,,4208,197.0,MALE,Antarctica,
S0065,adelie,,16.3.2023,3531,219.9,Male,Antarctica,
S0066,Adelie ,Bisco,9 Feb 2021,2268,199.9,FEMALE,Antarctica,
S0067,Gentooo,,16.9.2022,4257,176.7,Male,Antarctica,
S0068,chinstrap,Dream,11 Jan 2022,5496,184.4,unknown,Antarctica,
S0069,Adelie,Dream,2023-06-28,4975,184.7,M,Antarctica,
S0070,ADELIE,Biscoe,20 Jun 2022,4056,216.6,F,Antarctica,
S0071,Chinstrap Penguin,Bisco,,99999,177.8,FEMALE,Antarctica,
S0072,chinstrap,Biscoe,15/02/2023,4401,197.6,FEMALE,Antarctica,
S0073,Adelie ,Bisco,06/03/2023,-999,201.8,M,Antarctica,
S0074,Chinstrap Penguin,Torgersen,22/05/2022,-999,230.9,FEMALE,Antarctica,
S0075, Adelie,,28 Jul 2021,3645 g,209.0,FEMALE,Antarctica,weather: storm
S0076,gentoo,Biscoe,27.8.2023,4379,225.0,Male,Antarctica,
S0077,Gentooo,Dream,2.11.2023,4945,2028.0,FEMALE,Antarctica,
S0078,Adelie ,Dream,17.9.2022,4134,226.1,FEMALE,Antarctica,
S0079,adelie,,28 Apr 2021,4456,187.4,MALE,Antarctica,
S0080,Chinstrap,Torgersen,04/06/2023,2799,177.1,.,Antarctica,
S0081,Chinstrap Penguin,Torgersen,2021-03-02,3838,200.3,M,Antarctica,
S0082,Gentoo,,2023-03-14,2785,178.0,female,Antarctica,
S0083,Adelie ,Torgersen,18.6.2023,-999,219.6,Female,Antarctica,juvenile?
S0084,gentoo,Biscoe,05/04/2022,99999,218.9,Male,Antarctica,
S0085,ADELIE,Bisco,,4459,205.8,M,Antarctica,re-measured
S0086,Chinstrap,Dream,2021-03-09,3854 g,-999,female,Antarctica,
S0087,Gentoo,Dream,26.12.2021,4387,214.8,F,Antarctica,
S0088,Chinstrap Penguin,Biscoe,2022-10-05,4540 g,181.0,F,Antarctica,
S0089,Chinstrap Penguin,Bisco,04/12/2021,3554,177.5,F,Antarctica,
S0090,chinstrap,Torgersen,22 Mar 2022,-200,"213,5",male,Antarctica,
S0091,ADELIE,Bisco,2023-09-11,5534,176.2,MALE,Antarctica,
S0092,Chinstrap,Biscoe,22 Mar 2021,5401,217.0,FEMALE,Antarctica,
S0093,Gentoo,Bisco,1.9.2023,n/a,195.4,MALE,Antarctica,
S0094,Gentooo,,2023-11-01,4879,188.8,female,Antarctica,
S0095,gentoo,Bisco,2021-03-06,4552,191.5,Female,Antarctica,
S0096,Gentoo,Biscoe,22 May 2021,3415,207.4,MALE,Antarctica,tag damaged
S0097,ADELIE,Torgersen,16 Jan 2021,6469 g,195.3,unknown,Antarctica,
S0098,Adelie,,,3297,183.8,unknown,Antarctica,
S0099,Adelie,Torgersen,27.8.2023,-200,191.6,.,Antarctica,
S0100, Adelie,Torgersen,2021-02-17,4677,222.7,unknown,Antarctica,
S0101,ADELIE,Torgersen,2023-03-25,4333 g,183.8,.,Antarctica,
S0102,gentoo,Bisco,5 Jun 2023,-999,205.4,female,Antarctica,
S0103,Chinstrap Penguin,Biscoe,2022-02-21,3174,182.7,MALE,Antarctica,
S0104,Gentooo,Dream,2022-09-05,4436,220.8,male,Antarctica,
S0105,Adelie ,,20/09/2023,2260,181.6,unknown,Antarctica,
S0106,Gentooo,Torgersen,22 Sep 2021,5097,183.1,M,Antarctica,
S0107,ADELIE,Torgersen,22 Dec 2023,2750 g,215.4,unknown,Antarctica,
S0108,Gentooo,Bisco,17.7.2023,n/a,209.1,Male,Antarctica,
S0109,Adelie ,Dream,2021-02-10,2930,194.3,unknown,Antarctica,
S0110,ADELIE,Bisco,27/03/2021,4932,203.6,Female,Antarctica,
S0111,Chinstrap Penguin,Dream,27/08/2022,6382,186.8,FEMALE,Antarctica,
S0112,chinstrap,Dream,28.3.2023,-999,193.9,,Antarctica,
S0113,ADELIE,Torgersen,27 Mar 2023,-200,197.8,female,Antarctica,
S0114,chinstrap,Bisco,12/02/2022,,185.4,M,Antarctica,weather: storm
S0115,ADELIE,,1.2.2021,3054,2178.0,F,Antarctica,tag damaged
S0116,adelie,Biscoe,2023-10-15,3797 g,197.9,,Antarctica,
S0117, Adelie,,,4116,208.0,,Antarctica,
S0118,Gentoo,Bisco,1 Sep 2023,5297,-999,female,Antarctica,
S0119 ,adelie,Torgersen,4.11.2023,3764 g,210.2,unknown,Antarctica,
S0120,Gentooo,Dream,25 Dec 2021,NA,NA,MALE,Antarctica,
S0121,chinstrap,Bisco,7.11.2021,4508,172.5,male,Antarctica,
S0122,chinstrap,,6 Jun 2022,3239,218.5,male,Antarctica,
S0123,gentoo,Dream,3.2.2022,3822,217.8,Female,Antarctica,
S0124 ,Chinstrap,Bisco,2022-11-26,99999,176.8,M,Antarctica,
S0125,gentoo,,,99999,198.1,F,Antarctica,
S0126 ,ADELIE,,2022-08-25,3407,197.4,Male,Antarctica,
S0127 ,ADELIE,,9.2.2023,4442,218.8,Female,Antarctica,
S0128,adelie,,3.8.2023,3945,182.9,FEMALE,Antarctica,
S0129,Gentooo,Dream,04/04/2023,4277,216.3,.,Antarctica,
S0130,Gentoo,Dream,10 Feb 2021,4010,183.2,.,Antarctica,tag damaged
S0131,Chinstrap Penguin,,27/03/2022,4851,212.0,male,Antarctica,
S0132,ADELIE,Torgersen,17.6.2021,4195,219.9,M,Antarctica,
S0133,adelie,Bisco,05/10/2023,3999,181.2,.,Antarctica,re-measured
S0134,Gentooo,Bisco,2021-10-14,3738,191.7,Female,Antarctica,
S0135,chinstrap,Torgersen,6 Jan 2023,3488,2028.0,female,Antarctica,
S0136,chinstrap,Dream,4.9.2023,4827,2106.0,MALE,Antarctica,
S0137,gentoo,,19.6.2021,5632,239.2,FEMALE,Antarctica,
S0138,chinstrap,Bisco,19.4.2021,n/a,215.1,Female,Antarctica,
S0139 ,adelie,,12 Dec 2022,3414,191.7,,Antarctica,
S0140,Chinstrap Penguin,Bisco,2023-11-20,3975 g,"171,2",,Antarctica,
S0141,Adelie ,Bisco,2023-01-02,5882 g,184.7,.,Antarctica,
S0142,gentoo,Torgersen,27.12.2023,4345,183.8,.,Antarctica,
S0143,Chinstrap,Torgersen,2022-10-10,4143,179.1,.,Antarctica,
S0144,gentoo,,20 Dec 2023,2425 g,233.4,male,Antarctica,
S0145,chinstrap,Dream,17 Jul 2021,4583,207.1,Male,Antarctica,
S0146,Chinstrap Penguin,Bisco,18.8.2021,4366,214.3,FEMALE,Antarctica,
S0147,Adelie ,Torgersen,25.5.2021,3306,184.0,,Antarctica,
S0148, Adelie,Torgersen,13 Sep 2023,4263,203.9,FEMALE,Antarctica,
S0149,Chinstrap Penguin,Torgersen,27.4.2021,3575,212.6,.,Antarctica,
S0150,Gentoo,Dream,14.2.2021,5040,"200,2",,Antarctica,
S0151,Gentooo,,11.5.2021,4119,215.5,,Antarctica,
S0152,Adelie,Dream,27 Jan 2021,4757,199.8,FEMALE,Antarctica,
S0153 ,gentoo,Bisco,15 May 2022,2576,1888.0,male,Antarctica,
S0154,Gentooo,Torgersen,11.12.2021,4183,212.4,F,Antarctica,
S0155,adelie,,16.3.2021,5605,-999,Male,Antarctica,
S0156,Chinstrap,Torgersen,9.1.2023,4571,202.7,F,Antarctica,
S0157, Adelie,Biscoe,20/06/2022,4508,206.0,.,Antarctica,
S0158,Chinstrap Penguin,Bisco,2021-04-22,3453,197.7,male,Antarctica,juvenile?
S0159,ADELIE,Dream,04/08/2023,2491,202.1,MALE,Antarctica,
S0160,Chinstrap Penguin,Bisco,26.11.2022,3030,215.7,.,Antarctica,weather: storm
S0161,adelie,Bisco,2.8.2021,4362,176.3,unknown,Antarctica,
S0162,chinstrap,,03/07/2022,3910,207.2,,Antarctica,
S0163,Adelie,Biscoe,24 Nov 2022,4468,190.5,FEMALE,Antarctica,
S0164,adelie,Biscoe,2022-10-25,5179,207.7,unknown,Antarctica,
S0165 ,Adelie,,2023-04-25,4783 g,199.6,.,Antarctica,
S0166,Gentooo,Torgersen,17/11/2021,4039,217.6,M,Antarctica,
S0167,Chinstrap Penguin,Biscoe,13.11.2023,3633,206.4,,Antarctica,
S0168, Adelie,Dream,14 Sep 2021,4597,207.8,unknown,Antarctica,weather: storm
S0169,adelie,Bisco,9 Jan 2021,2901,182.8,.,Antarctica,
S0170,Chinstrap Penguin,Dream,01/05/2022,4588,198.3,Female,Antarctica,
S0171,Adelie ,,25.6.2023,3461,197.2,,Antarctica,
S0172,Chinstrap Penguin,Torgersen,2022-06-14,4280,207.7,.,Antarctica,
S0173,ADELIE,Dream,27/10/2022,3514,182.4,Female,Antarctica,
S0174,Chinstrap Penguin,,5 Mar 2022,6071,172.7,,Antarctica,re-measured
S0175,Gentooo,Biscoe,27/03/2022,-200,NULL,Female,Antarctica,
S0176,Gentooo,Bisco,2023-08-01,4075,201.4,,Antarctica,
S0177 ,Gentooo,,04/02/2021,3754,192.7,F,Antarctica,weather: storm
S0178,Adelie ,Dream,2021-11-28,-999,180.3,M,Antarctica,weather: storm
S0179,Chinstrap,Bisco,02/09/2021,4370,212.1,MALE,Antarctica,
S0180, Adelie,Bisco,28.3.2021,NA,189.7,F,Antarctica,
